,,,,,,,,,,
Test Identifier,Test Summery,Test Description,Precondition,Test Steps,Expected Result,Actual Results,UI / API,Status,Tester,Defect ID
M2-UI-01,Verify Admin Adding Main Category,Verify that an Admin user can successfully add a new main category (parent category) to the system., Logged in as Admin,"1.  Go to the categories tab.
2.  Click on “Add a Category” Button
3.  select different category Except “Main Category”
4.  Click on Save button.","1. Navigated to category list. 
2. Category list is updated with new one 
3. Shows the success message.",,UI,,214086K,
M2-UI-02,Verify Admin Adding Sub-Category,Verify that an Admin user can successfully add a new sub-category by selecting an existing parent category., Logged in as Admin,"1. Go to the categories tab. 
2. Click on “Add a Category” Button 
3. select different category Except “Main Category” 
4. Click on Save button.","1. Navigated to category list. 
2. Sub Category list is updated with new one. 
3. Shows the success message.",,UI,,214086K,
M2-UI-03,Verify Validation: Category Name Required,Verify that the system displays a validation error message when the Category Name field is left empty during creation., Logged in as Admin,"1. Go to the categories tab. 
2. Click on “Add a Category” Button 
3. Keep the Category Name as Empty. 
4. Click on Save Button.",1.Error should be shown as “Category name is required”,,UI,,214086K,
M2-UI-04,Verify Validation: Category Name Length (lower limit validation),Verify that the system displays a validation error message when the Category Name entered is shorter than the minimum required length (3 characters)., Logged in as Admin,"1. Go to the categories tab. 
2. Click on “Add a Category” Button
3. Enter Category name (name length < 3)
4. Click on Save Button.",1. Error should be shown as “Category name must be between 3 and 10 characters”,,UI,,214086K,
M2-UI-05,Verify Validation: Category Name Length (Upper limit validation),Verify that the system displays a validation error message when the Category Name entered is longer than the maximum required length (10 characters)., Logged in as Admin,"1. Go to the categories tab. 
2. Click on “Add a Category” Button
3. Enter Category name (name length > 10)
4. Click on Save Button.",1. Error should be shown as “Category name must be between 3 and 10 characters”,,UI,,214086K,
M2-UI-06,Verify Cancel button navigation,Verify that clicking the Cancel button on the category creation page navigates the user back to the category list without saving changes., Logged in as Admin,"1. Go to the categories tab. 
2. Click on “Add a Category” Button. 
3. Click on Cancel Button.",1. Navigated to Category list page.,,UI,,214086K,
M2-UI-07,Verify Test User View Category List,Verify that a standard Test User can view the list of categories,Logged in as Test User,1. Go to the Categories tab.,1. Display list of categories with pagination.,,UI,,214086K,
M2-UI-08,Verify Test User Search Category,Verify that a Test User can successfully search for a specific category by name using the search functionality.,Logged in as Test User,"1. Go to the Categories tab. 
2. Enter Search keyword in the input box. 
3. Click on the search box.",1. Results filtered for the keyword.,,UI,,214086K,
M2-UI-09,Verify Add Button Hidden for Test User,"Verify that the ""Add Category"" button is hidden for Test User.",Logged in as Test User,"1. Go to the Categories tab. 
2. Check for the “Add Category” button.",1. “Add Category” Button is Hidden (Not visible),,UI,,214086K,
M2-UI-10,Verify Delete button disabled or hidden for Test User.,"Verify that the ""Delete"" button is disabled or hidden for Test User in the category list.",Logged in as Test User,"1. Go to the Categories tab. 
2. Check for delete icon on a row.",1. The delete button is disabled or hidden.,,UI,,214086K,
M2-UI-11,Verify 'No category found' shown when entering a irrelevant text for category name,"Verify that the system displays a ""No category found"" message when a user searches for a category name that does not exist.",Logged in as Test User,"1. Go to the Categories tab. 
2. Search irrelevant text on the textbox.",1. shows 'No category found' message.,,UI,,214086K,
M2-API-01,Create category as Admin,Verify that the API allows an Admin to create a new category with valid data,Valid Admin token available,1. POST /api/categories,1. 201 Category created successfully,,API,,214086K,
M2-API-02,Edit category as Admin,Verify that the API allows an Admin to update an existing category's details,Valid Admin token available,1. PUT /api/categories/{categoryId},1. 200 Category updated successfully,,API,,214086K,
M2-API-03,Delete category as Admin,Verify that the API allows an Admin to delete an existing category by its ID,Valid Admin token available,1. DELETE /api/categories/{categoryId},1. 204 Category deleted successfully,,API,,214086K,
M2-API-04,Creating category with less than 3 letters for name,Verify that the API returns a validation error (400 Bad Request) when creating a category with a name shorter than 3 characters.,Valid Admin token available,1. POST /api/categories with name = “A”,1. 400 Bad Request,,API,,214086K,
M2-API-05,Creating category with missing name,Verify that the API returns a validation error (400 Bad Request) when the name field is missing in the payload.,Valid Admin token available,1 . POST /api/categories with name = “”,1. 400 Bad Request,,API,,214086K,
M2-API-06,get all sub categories as Test User,Verify that a Test User can retrieve the list of all sub categories via the API (GET request).,Valid User token available,1. GET /api/categories/sub-categories,1. 200 Sub Categories retrieved successfully,,API,,214086K,
M2-API-07,Get specific category by ID for Test User,Verify that a Test User can retrieve details of a specific category by its ID via the API (GET request).,Valid User token available,1. GET /api/categories/{categoryId},1. 200 Category retrieved successfully,,API,,214086K,
M2-API-08,Test User Creating a Category,Verify that the API denies a Test User from creating a new category (POST request) and returns 403 Forbidden.,Valid User token available,1. POST /api/categories,1. 403 Forbidden,,API,,214086K,
M2-API-09,Test User Updating a Category,Verify that the API denies a Test User from updating an existing category (PUT request) and returns 403 Forbidden.,Valid User token available,1. PUT /api/categories/{categoryId},1. 403 Forbidden,,API,,214086K,
M2-API-10,Test User Deleting a Category,Verify that the API denies a Test User from deleting a category (DELETE request) and returns 403 Forbidden.,Valid User token available,1. DELETE /api/categories/{categoryId},1. 403 Forbidden,,API,,214086K,
